Financial Year,Agri-culture & Allied Services,Agriculture,Industry,Mining and Quarrying,Manufacturing,Services
1951-52,51.45,41.54,16.69,2.02,9.05,29.63
1952-53,51.61,42.08,16.22,2.01,9.1,29.71
1953-54,52.39,43.23,16.15,1.92,9.25,28.81
1954-55,51.73,42.63,16.77,1.92,9.49,28.94
1955-56,50.01,40.95,18.07,1.9,9.98,29.62
1956-57,49.89,41.06,18.56,1.89,10.15,29.31
1957-58,48.23,39.45,18.61,2.04,10.67,30.78
1958-59,49.34,40.8,18.49,1.95,10.41,29.79
1959-60,47.8,39.34,19.33,2.01,10.88,30.6
1960-61,47.65,39.41,20.09,2.16,11.0,30.19
1961-62,46.25,38.1,20.8,2.21,11.58,30.85
1962-63,44.39,36.51,21.76,2.43,12.17,31.92
1963-64,43.24,35.41,22.74,2.38,12.68,32.19
1964-65,43.9,36.31,22.57,2.24,12.6,31.64
1965-66,40.53,32.61,24.38,2.6,13.2,33.76
1966-67,39.56,31.54,25.01,2.63,13.17,34.45
1967-68,42.02,34.15,23.89,2.51,12.22,33.07
1968-69,40.88,33.17,24.41,2.52,12.57,33.71
1969-70,40.85,33.39,24.62,2.48,13.07,33.28
1970-71,41.66,34.16,23.62,2.2,12.74,33.26
1971-72,40.47,32.92,23.97,2.23,13.02,34.14
1972-73,38.56,31.16,24.92,2.37,13.57,35.25
1973-74,39.54,32.32,23.99,2.3,13.56,34.82
1974-75,38.49,31.07,24.05,2.38,13.8,35.84
1975-76,39.86,32.55,23.62,2.45,12.92,35.06
1976-77,37.09,30.19,25.35,2.51,13.88,36.23
1977-78,37.98,31.61,25.24,2.41,13.72,35.38
1978-79,36.83,30.55,25.58,2.34,14.61,35.77
1979-80,33.89,27.92,26.13,2.5,14.92,38.57
1980-81,35.69,29.82,25.66,2.62,13.95,37.65
1981-82,35.35,29.6,26.23,2.82,14.28,37.49
1982-83,34.25,28.72,25.85,3.06,14.33,39.03
1983-84,34.97,29.49,25.86,2.92,14.65,38.25
1984-85,34.17,28.79,25.88,2.84,14.69,39.04
1985-86,32.91,27.69,25.94,2.88,14.55,40.36
1986-87,31.42,26.44,26.3,3.1,14.71,41.62
1987-88,29.86,25.1,26.81,3.1,15.01,42.76
1988-89,31.35,26.62,26.56,3.27,14.78,41.51
1989-90,29.89,25.18,27.1,3.32,15.16,42.58
1990-91,29.53,24.94,27.63,3.48,15.08,42.55
1991-92,28.54,24.02,27.33,3.55,14.51,43.91
1992-93,28.89,24.41,26.77,3.4,14.2,44.05
1993-94,28.24,23.83,26.73,3.26,14.59,44.76
1994-95,27.8,23.46,27.42,3.35,15.2,44.52
1995-96,25.73,21.65,28.44,3.3,16.36,45.69
1996-97,26.19,22.14,28.03,3.08,16.59,45.51
1997-98,24.47,20.59,27.95,3.24,15.91,47.53
1998-99,24.39,20.68,27.28,3.12,15.38,48.24
1999-2K,23.27,19.68,26.87,3.02,15.07,49.85
2000-01,22.31,18.76,27.32,2.97,15.5,50.37
2001-02,22.42,18.92,26.57,2.86,15.02,51.02
2002-03,20.13,16.72,27.39,2.98,15.44,52.48
2003-04,20.32,17.15,27.2,2.84,15.19,52.48
2004-05,19.03,16.04,27.93,2.86,15.25,53.05
2005-06,18.27,15.46,27.99,2.65,15.34,53.74
2006-07,17.37,14.69,28.65,2.6,16.0,53.98
2007-08,16.81,14.29,28.74,2.46,16.14,54.45
2008-09,15.77,13.36,28.13,2.36,15.78,56.11
2009-10,14.64,12.35,28.27,2.3,16.17,57.09
2010-11,14.45,12.29,28.23,2.21,16.23,57.32
2011-12,14.1,12.02,27.51,2.06,15.7,58.39
